source,title,summary,link,published,fetched_on,text
The Hindu,"‘Operation Sindoor’ LIVE: India exercised right to act on terror, says Govt following strikes in Pakistan - The Hindu","‘Operation Sindoor’ LIVE: India exercised right to act on terror, says Govt following strikes in Pakistan  The Hindu",https://news.google.com/rss/articles/CBMiygFBVV95cUxNYVRreVhTLXV5QS1iSDBGRm5KMUJTM0ZfeERsS3JlNXZWTEpCanZEbW91a2ZxQTByRE1VUkRJSDE5dGk3ZXlfanBxclJzWVNMVXZfVWpvLXpkcGhwMlZqbl9mU284Y2QtRmhpYTBMSzc4U0R1elZVWUwzYjRxckZ4UERRT3dsMmdnNWZfSDI2Z00wQk5sQ29GU0lVV1ZDR2lVZWo2cHgzY2dNZjg1aWJ2YzFfTllweHgtaVFCVWRQVzU5UkpuRFJyd3Fn?oc=5,"Wed, 07 May 2025 05:20:00 GMT",2025-05-07T10:55:02.019590,"‘Operation Sindoor’ LIVE: India exercised right to act on terror, says Govt following strikes in Pakistan - The Hindu. ‘Operation Sindoor’ LIVE: India exercised right to act on terror, says Govt following strikes in Pakistan  The Hindu"
The Hindu,Pahalgam terror attack highlights: Pakistan to allow stranded citizens to return via Wagah border after visa revocations - The Hindu,Pahalgam terror attack highlights: Pakistan to allow stranded citizens to return via Wagah border after visa revocations  The Hindu,https://news.google.com/rss/articles/CBMivwFBVV95cUxPa084QW55YUdZMG1LOTFnMl9pa3NKcGhMQVphV2tmTDhILTFhSm8wMFFiNkc1NXEzSjVXZkozY0Rpb0tJaG9FbkRNRnJQYkdYZkphSmNfU2s5RUF1azFab2tsZE1zMWlwZE1IazI4V1ZIUnZCS1JlUW1adGk1SndwdllJNjNibU41VzBVSml5SEZQalFBaXNuem5MQmhuWkkxNjlOcUNsNXZxaVlGbmlZOG9hQ3NhUjEwY0xtTmpUd9IBxgFBVV95cUxQVlZyWmZlRDJrclJ4a1JXbi03bWFyTHJQSk1TcjJEbENBLUJ0M3RFTkgxa1VwTHJtSUFXcWdNdXQwR2VmcHhWQWhOQWN6a0g2WU1lemlBeElVaC1Sa3FZSFY0aEc1cXlORVVhdjMzbmpJQWZjMzFLaW92Q1pSVWpHeUZaMTBrXzFENXZfYVprYlIyTGlzZ1NWN3R3a0RVa0dYNkNRRjlpNXMzNHA0NUU4SmwtVEJXZUhKNWEtaVNFcHFjUlVVb1E?oc=5,"Fri, 02 May 2025 17:03:00 GMT",2025-05-07T10:55:02.020088,Pahalgam terror attack highlights: Pakistan to allow stranded citizens to return via Wagah border after visa revocations - The Hindu. Pahalgam terror attack highlights: Pakistan to allow stranded citizens to return via Wagah border after visa revocations  The Hindu
The Hindu,Pahalgam terror attack highlights: Pakistan warns India it would strike any structure built on Indus River - The Hindu,Pahalgam terror attack highlights: Pakistan warns India it would strike any structure built on Indus River  The Hindu,https://news.google.com/rss/articles/CBMivwFBVV95cUxOVnJFWG8tcmVBVHhqUDZVRVRCWnh1dHZ6NmwzV2JUTG5jLUc1bllFT0xFM3d3MEVXTTFUUDktNDEyV3JzRjNRSW1PbjlFQXFYLUNWS2tUY19hRnNiLXR1am90ODFUU19kbFlVZ3Vhb252cmFaWE5yQktuNnIwRGZhMy05aXVQalNSd1V1Z2M2cDhhS3YxSVlfZWNlcmJfVXl0Nm5oZHRkc2JOX1JURFhfekhOcGl6UGhWYWEyTzE3UdIBxgFBVV95cUxNdWNlTWF4a3RPZkQyUVVkS1RjQXFJRUFEdEpSdFhfOWNXRjVDUU1LSlhkdFE2VzNxODV2dllCSGNPZlNsemlzcF80NFN6V1Nxel96QUhtM2JRVDg2Nm95QV94N0xFZTFMRVZYV1EzMko0Ylhwd0piTEN0VlByc2M2VDF3Y1diM2ZJMkprRlBkRDhFUkhSN2NaWmZGdk9BeFAtRUFlRW5SR2hLSDBVbTBRZllPMXA0Y3hxOUs1R19TSThCVDY4OFE?oc=5,"Sat, 03 May 2025 02:28:15 GMT",2025-05-07T10:55:02.020430,Pahalgam terror attack highlights: Pakistan warns India it would strike any structure built on Indus River - The Hindu. Pahalgam terror attack highlights: Pakistan warns India it would strike any structure built on Indus River  The Hindu
The Hindu,"Pahalgam attack highlights: Support India’s ‘right to defend itself’, says U.S. - The Hindu","Pahalgam attack highlights: Support India’s ‘right to defend itself’, says U.S.  The Hindu",https://news.google.com/rss/articles/CBMivwFBVV95cUxNMU9OT1hOc2E3UW9JalEwSERhSDczZ193VDFWck5iLWVxbUUyQm9kNkJJT0ZJZldOZTdQMlQyckE2YVFyNnVpbHN1M3dleGs0bFo0dHN0emZOSXg4SWhGTWVsdDM3OXQzMDdoM1Z6NVNLSW9vS2pfdHN5WVJaVXYzaVVPSlhRUGRBZDc1ZnhUWTJPX1VKaXZwYlRMeTJqdjd3RDVzSzRadV9oYVBwN3lDVjhDbXpvZlkzcWZrb1hzSdIBxgFBVV95cUxNb29NeG03cnoxdnFiWEY1UjZkRE5ySVBWdFFYWDVuOXRIbk4yclpnTWQ4b2hoWGxSYWs0YVBNaEdPWXRtNEJNTTJqSDhNb1dvY0JnSkhxd1E3aksxSXB4REpwYklhUVBoYjZ1a2VnZHBadXR5ajd2UzZSXzU4QUNyZzFUZTFhdVhlU0Y3VlhPbmhLcTg5S3J3WG5MdW9FTUZfMTBmQXVFR3pscTMwZXU5enRDNGs4LW5fRFBMRUlQeDhFOHpGRHc?oc=5,"Thu, 01 May 2025 07:39:05 GMT",2025-05-07T10:55:02.020738,"Pahalgam attack highlights: Support India’s ‘right to defend itself’, says U.S. - The Hindu. Pahalgam attack highlights: Support India’s ‘right to defend itself’, says U.S.  The Hindu"
The Hindu,"Pahalgam terror attack highlights: India puts Indus Water treaty in abeyance, closes Attari post - The Hindu","Pahalgam terror attack highlights: India puts Indus Water treaty in abeyance, closes Attari post  The Hindu",https://news.google.com/rss/articles/CBMiywFBVV95cUxPX3FBbnZzUkY3OXFmSHJqdUlHNWFMY1dsNHdid3BSUmlNaHdMamVSVmxXNUdyZ29BeVRsZzNnMlFVZEEweWFxNFBuMHVBSnM1WEdHYXh6angwMWhEeWlaeVRHV2FybmhTNUVNQXlSYWxQSVptbGhjVERXUHlfTmFseUVsY0Z1ZFpoS2dfS3Bwd05HZk03dFJ1SkNSUDBrMzNaN3p0LWZ6TG4taC1sZlB6Y1JxYXd3RTVsWUZPaV9KcmtNVWNmWTA4R2pDdw?oc=5,"Tue, 22 Apr 2025 07:00:00 GMT",2025-05-07T10:55:02.021064,"Pahalgam terror attack highlights: India puts Indus Water treaty in abeyance, closes Attari post - The Hindu. Pahalgam terror attack highlights: India puts Indus Water treaty in abeyance, closes Attari post  The Hindu"
The Hindu,"Pahalgam terror attack highlights: RJD MP Manoj Jha writes to PM Modi, calls for special session of Parliament - The Hindu","Pahalgam terror attack highlights: RJD MP Manoj Jha writes to PM Modi, calls for special session of Parliament  The Hindu",https://news.google.com/rss/articles/CBMi2wFBVV95cUxObXVJSTNQRjB0RW11RGlWSnlaR2M5ZUtYNmdHQlBwOWZMZlVCMzJjODNJaHJ2RXR6dTlnaTV4YWc4dmJ4UExpeEUwMU5sS3dxWEgzSHh5VGt6Q0JmMVhsUXJEdE5rUGpzZWw2RHBIcXJOMEFzbGYtUE5JZUNjTTY2YXJ4WkVlYVk0Q0owdVVhR18zZlZwSGN3clhZNzVEdTVZSTllX0NrSU5HRkhpVFFwODAtcUhmemdkaUhLXzJVSVBtclhnZmY0QjJuUFdORDJxQ0hwelJJc0xRbk3SAeIBQVVfeXFMTmtxQjlySmNBREJhb2xJUWxLMzM4ZlZub1NMd2RINGtnUU00U2xiZjVSU1dRcENJd25RYzFOVE4ydkJLb0xXX29TZ0Q2eTU1VzU3cUV5c1N4Wm1SeHBOTTRpa05YUjdCQkhUUFRHd0ZmVlpvTFNBdmVmM080QzA0dnF1ODQ3dG1lcGR5MzR4LUFQWHdUc2pQZkp3SjRmRFNhamtkaGozQ3JDaTIyV2owTWRzTm5FMm9OY1ZMYllUSDg5T1lQcTJFWUR3bjhNd0EzYUYwLVVOWE5yV2dhU1pnUjZ4QQ?oc=5,"Mon, 28 Apr 2025 12:48:51 GMT",2025-05-07T10:55:02.021384,"Pahalgam terror attack highlights: RJD MP Manoj Jha writes to PM Modi, calls for special session of Parliament - The Hindu. Pahalgam terror attack highlights: RJD MP Manoj Jha writes to PM Modi, calls for special session of Parliament  The Hindu"
The Hindu,"Pahalgam attack highlights: Those responsible must pay the price, PM Modi must act strongly: Rahul Gandhi - The Hindu","Pahalgam attack highlights: Those responsible must pay the price, PM Modi must act strongly: Rahul Gandhi  The Hindu",https://news.google.com/rss/articles/CBMixAFBVV95cUxPNU9oWGVmZi1qX0VWWGR5S3lKWEVlTnRfN0IxRWtyLVYzTmJzQVhxMTBmNmxiZzJ5VkZWTXJDRlRoeEh0NzR3Q1ZsUGNsaUI0SmNQTzZHTnY2RHlsX0tBVTRqaE8xSmxnM1BiQ3F6eVZJM0JSSFpiMVlENzJUMnE0UGpNbmVGSDBSVVQwQTBFVzIwZktQM3p1eGFyRnVxWEtNdGZaZFROY0YwMWRGQlpNOXFUbVZ0OWs3Sk9LdVhhVUFOQzFj0gHLAUFVX3lxTE9QYWgwdE03OHZOcE5hM2gzVnE3T2JJMFduaFI3R25lQTJyZF94c0VKbEw5RllvalBla1VjQzJkX3kta1NHcnpicUNZWk5ZNE9ZYWp6ZE5ibGlPRWxSZDZRaFpTWTZBUVhOckFCdXpaRlBaYU81RmVtWG1UYjFWTHRiZEQwM2JvZ2FnUDZaM0VLdnpYT3dkV1JSN3laN00tM0t0RHFEZ3RaRlRwTHZJNGpZOHRBaE9aRVJ4THpVTGp6WXp1dmZ2R2I5VE5N?oc=5,"Wed, 30 Apr 2025 08:40:17 GMT",2025-05-07T10:55:02.021678,"Pahalgam attack highlights: Those responsible must pay the price, PM Modi must act strongly: Rahul Gandhi - The Hindu. Pahalgam attack highlights: Those responsible must pay the price, PM Modi must act strongly: Rahul Gandhi  The Hindu"
The Hindu,"Pahalgam terror attack Highlights: Will ensure not even a drop of water from Indus goes to Pakistan, Jal Shakti Minister says - The Hindu","Pahalgam terror attack Highlights: Will ensure not even a drop of water from Indus goes to Pakistan, Jal Shakti Minister says  The Hindu",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQTDBoSTkwc1pEaDA5QWxfUzlXVzRTcUJBUFMySzZkdzZXQXdMZUVLWUlHVFpZMEF2RlBWckg4N2RlWWhQUG5oUFBMSkVaM2c5VXJmOUhjYWRmQU5fT3B6SDBnVUlGLXc4M2I5T2hVMVZqZTBzbWlWWWl0czR0NXM0bkNyWjVfd2hWQXk3SGJBR2RudERFTkc0YVpSdnhRUDMxLTVYR0Y5UkhjVXhpbDEzNjdlWWl5dTVlUjluNlVCWGxRem00bk5UY1dSa1FnZXBpdlpKRFd30gHcAUFVX3lxTFBMRE1wN1l5LXp0azY4YXFoUnkxeWE0eEJXWFp5ekVGWXhtQnMySFhwWWdSSng5TXFTd1Z2b05Dd01yaVdyM2lmVjMyTE0xUmh1bXFJZFFleG4yVHMxYVBERF9NdWhXWF9fZGJLRTR4VHd0OVBmOXl5a2cySmZTSWZKX3JCVU1DbWlPZzlXTi1Pcy1ibVFMYXJGVUJVZmVsc3Q4Q3dRYTZhRkJnLUZIYlp3YU13ZEs3NWp4TEpybC1sdGFsWE5RMW41MGJqcWVXTk53bVFseGNwQXpseFk?oc=5,"Fri, 25 Apr 2025 07:00:00 GMT",2025-05-07T10:55:02.021968,"Pahalgam terror attack Highlights: Will ensure not even a drop of water from Indus goes to Pakistan, Jal Shakti Minister says - The Hindu. Pahalgam terror attack Highlights: Will ensure not even a drop of water from Indus goes to Pakistan, Jal Shakti Minister says  The Hindu"
The Hindu,Pahalgam terror attack: Two Kashmiris suspected to be among attackers - The Hindu,Pahalgam terror attack: Two Kashmiris suspected to be among attackers  The Hindu,https://news.google.com/rss/articles/CBMigAJBVV95cUxPUWxVVkZjQThDOWtBNDI3Wnc2anJ6cEctYXJWejROdXhRMTk5QVdwVHhhQXJjdHhWdV9oQjJCdnlEaFNSZ2g5bWNoVE41dmxxeVBKZ0lYdmd2T0tybUJuTHBLOUVpUEZoWFczX0pqWUMzV3plNXRGNENGeGpTVGpzbDU4MV9hdE5qUEJaX293YUhIdlhRb1hUdW5UMVBmWG9OLVBiZ0RVOXlBbV90NjQyQzc3ZnpMa1RHcmJDcUd3a1gzXy12dV9vNzJiSTdaWTZ3czF0X3QyX21aVmJXTkxkZEp2bTdHVkVQeXhCZFRPSDI5NUpWS3p5aU0yNHgydGM20gGHAkFVX3lxTE0xNjg4OGtBQVBZLTJmVE5mVmVIQkFobmN6eU1JZ1phbUxZZmswcThpQjZoQ3NtVkFiS1pUSHA3ZkhqYlZvQ19VcFE3QmlaOFVFQjdTMXloZ1pmLTBES1p5YkhzTWluektRZHZKdTlrYnpMZV9Ca3BGVUxWYVhpSzA3RTVycTI0UHRkUldPWHlYZHpqWEYzRTFrbk9Id3RuVHlyWTlwN3N0X2pkamFiZXZJSTdQaC15RG5MdW1sSmNEM3pMNHBrVkRhNXdoV29FRWxhR1BDd3ZtOURXbG9aZF9semJZaHNHQlJ4a1I5WlNvWWhEZ0hra3FTa3Zqb0xabWhVLXBXMmlR?oc=5,"Wed, 23 Apr 2025 07:00:00 GMT",2025-05-07T10:55:02.022272,Pahalgam terror attack: Two Kashmiris suspected to be among attackers - The Hindu. Pahalgam terror attack: Two Kashmiris suspected to be among attackers  The Hindu
The Hindu,Pahalgam terror attack: Who are the victims? Full list - The Hindu,Pahalgam terror attack: Who are the victims? Full list  The Hindu,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYUZPeFF0VTFrNkRodm5BYnZWYU5EWjVmNkVWNWRXdU11WS1SZnlwcF9TOU5xVHo1cERTWDI2NWg3T1pXUTFXLWlTNVdwTVI0NUdPdlZ4LWFBamFCenlMbXBmUEV5Y0t4V0x3aVNaSmhYMjVYY2FsSmJTTkJMZFhOTEM0YjFfS3duMnhjZzFuVnhuaVlFeGdOa0N6eVVzc19LWlg3ONIBqwFBVV95cUxPekRic0o1c3dJaDhGOUlfQUlmQXVzc1g1X08yb2dRVXV1Vm9RMkYzbkpSMmRqaFZsRGZlRlB6YS15SmFrU1hPNlRMQnU2UHF6WkZrbUpvbjg2TGpCWUp3ck96eGFrbEVFYk5KQTlmQVRZSS1hbDMyVHpQS1lkc18xdHU5MVVYZHgwYWZfczQ5RC1PdlhIOW01alZSeDZaQUsteEJFWFNoNU1td2M?oc=5,"Wed, 23 Apr 2025 07:00:00 GMT",2025-05-07T10:55:02.022547,Pahalgam terror attack: Who are the victims? Full list - The Hindu. Pahalgam terror attack: Who are the victims? Full list  The Hindu
